Genetic_line,Treatment,Replicate,Total prepupal number,Total prepupal weight,avg_pupal_weight,SGR_per_day,SGR_regression_R2,Lefterover dry(g),DM_reduction,Larval day,The first day to become prepupae,prepupation_rate,The first pupa occurs(day),The last successful pupa occurs (day),pupal _umber,pupation_rate,The first day to emerge,The last one emerged (day),eclosion_number,eclosion_rate,feeding_duration,larval_duration,pupal_duration,pupal_development_span,adult_eclosion_span
E,FW,2,184,46.669,0.25363587,0.35977773,0.97821067,42.5754,71.6164,15.73913043,12,0.92,21,50,83,0.922222222,30,61,83,1,12,21,9,29,31
E,FW,3,196,50.305,0.256658163,0.362982043,0.986102295,65.0859,56.6094,15.56632653,13,0.98,21,51,83,0.922222222,31,62,82,0.987951807,13,21,10,30,31
WT_1,FW,1,196,46.842,0.238989796,0.399927117,0.975552024,56.0509,62.63273333,17.59183673,14,0.98,23,37,90,1,32,50,85,0.944444444,14,23,9,14,18
WT_1,FW,2,193,47.794,0.247637306,0.368415787,0.956731266,55.4641,63.02393333,17.07772021,14,0.965,23,39,90,1,31,51,90,1,14,23,8,16,20
WT_1,FW,3,191,50.397,0.263858639,0.406915018,0.945974047,55.1263,63.24913333,15.60209424,13,0.955,23,29,90,1,30,41,88,0.977777778,13,23,7,6,11
WT_2,FW,1,196,48.878,0.249377551,0.313083393,0.945166913,57.888,61.408,16.14285714,14,0.98,23,37,78,0.866666667,32,48,77,0.987179487,14,23,9,14,16
WT_2,FW,2,195,48.578,0.249117949,0.319035671,0.962317137,62.3444,58.43706667,16.82564103,14,0.975,22,36,87,0.966666667,32,45,87,1,14,22,10,14,13
WT_2,FW,3,194,48.808,0.251587629,0.329190537,0.971965234,56.395,62.40333333,16.63402062,14,0.97,22,44,85,0.944444444,32,55,85,1,14,22,10,22,23
SW,FW,1,187,41.323,0.22097861,0.288304851,0.978680212,72.8223,51.4518,16.21390374,14,0.935,23,44,69,0.766666667,34,56,61,0.884057971,14,23,11,21,22
SW,FW,2,194,42.873,0.220994845,0.285696724,0.936484816,69.6969,53.5354,15.43298969,14,0.97,23,39,78,0.866666667,34,53,75,0.961538462,14,23,11,16,19
SW,FW,3,199,41.296,0.207517588,0.299468777,0.947491484,65.2137,56.5242,16.2361809,14,0.995,22,34,55,0.611111111,33,48,54,0.981818182,14,22,11,12,15
